longitude,latitude,id,min_lon,min_lat,max_lon,max_lat
-137.301754460306,65.945155199468,19e05b9b,-137.37361935430528,65.87329030546873,-137.22988956630672,66.01702009346728
-137.062130153,67.2486641684046,51f3fb42,-137.13399504699927,67.17679927440533,-136.99026525900072,67.32052906240388
-136.503399140369,65.919891152985,b833ca60,-136.57526403436827,65.84802625898573,-136.43153424636972,65.99175604698428
-139.530887099343,67.9548740778737,1acb778e,-139.60275199334228,67.88300918387442,-139.45902220534373,68.02673897187297
-140.436986959364,67.3117702031609,c8781100,-140.50885185336327,67.23990530916163,-140.36512206536472,67.38363509716018
-140.812779137733,68.4566587861401,7fb3802a,-140.88464403173228,68.38479389214082,-140.74091424373373,68.52852368013937
-139.115535471433,67.7854383801636,72736992,-139.18740036543227,67.71357348616432,-139.04367057743372,67.85730327416287
-137.675372039251,66.1193544383314,76de964e,-137.74723693325026,66.04748954433212,-137.6035071452517,66.19121933233068
-138.747392883136,67.2888707932363,a50487e5,-138.81925777713528,67.21700589923702,-138.67552798913673,67.36073568723558
-138.050215761823,69.0713439043248,6290bb98,-138.1220806558223,68.99947901032553,-137.97835086782374,69.14320879832408
-139.39852040322,69.257773595414,5c13b150,-139.47038529721928,69.18590870141472,-139.32665550922073,69.32963848941327
-138.302216495102,67.4434425507406,d7621fa8,-138.37408138910126,67.37157765674132,-138.2303516011027,67.51530744473988
-139.078339600647,68.1114065494216,b2576abb,-139.1502044946463,68.03954165542233,-139.00647470664774,68.18327144342088
-139.466560422918,68.6066693819568,7dfca14c,-139.53842531691728,68.53480448795753,-139.39469552891873,68.67853427595608
-138.005354882812,66.6188420151417,b7d5e51b,-138.07721977681126,66.54697712114242,-137.9334899888127,66.69070690914097
-139.561751612012,67.6287486275589,f12f2375,-139.63361650601126,67.55688373355963,-139.4898867180127,67.70061352155818
-137.904072948639,67.270926554949,5428684e,-137.97593784263827,67.19906166094972,-137.83220805463972,67.34279144894828
-138.348633930692,67.1174030421387,043cbb67,-138.42049882469126,67.04553814813943,-138.2767690366927,67.18926793613798
-140.002212373467,67.4708514340653,a59ae65c,-140.07407726746627,67.39898654006602,-139.9303474794677,67.54271632806457
-137.124382161423,66.922965714181,384a8093,-137.19624705542228,66.85110082018173,-137.05251726742372,66.99483060818028
-136.63383996683,65.2681522268926,ebf5eeaa,-136.7057048608293,65.19628733289332,-136.56197507283073,65.34001712089187
-138.480828253974,66.1385879781298,8799bdf2,-138.5526931479733,66.06672308413053,-138.40896335997473,66.21045287212908
-137.727269054231,65.793126584301,1ed221e7,-137.79913394823026,65.72126169030173,-137.6554041602317,65.86499147830028
-137.185029983426,66.5971398891867,9e70ec40,-137.25689487742528,66.52527499518743,-137.11316508942673,66.66900478318598
-136.871245578209,66.095993411268,56f4d747,-136.94311047220828,66.02412851726872,-136.79938068420972,66.16785830526727
-140.86614492375,67.1515279800483,a6a4226e,-140.93800981774928,67.07966308604902,-140.79428002975072,67.22339287404758
-137.453951183581,67.4232076054759,c76a7091,-137.5258160775803,67.35134271147662,-137.38208628958174,67.49507249947517
-138.974339788975,65.3301089151432,dc9ebffc,-139.04620468297426,65.25824402114392,-138.9024748949757,65.40197380914248
-139.96259713791,62.4001494633522,e8ad6a4d,-140.03446203190927,62.32828456935292,-139.89073224391072,62.47201435735148
-139.008949520514,65.0033799724865,cd666381,-139.08081441451327,64.93151507848722,-138.93708462651472,65.07524486648578
-131.367516007588,66.6509142288549,440576ed,-131.43938090158727,66.57904933485563,-131.29565111358872,66.72277912285418
-133.758728539115,68.2704561060695,e3d7b572,-133.83059343311427,68.19859121207023,-133.68686364511572,68.34232100006878
-133.221850632564,66.1020972733274,d25757ed,-133.2937155265633,66.03023237932813,-133.14998573856474,66.17396216732668
-131.515942011196,68.3144943875595,72a87fff,-131.58780690519527,68.24262949356023,-131.4440771171967,68.38635928155878
-133.56932149383,66.2856851350116,01704d5c,-133.64118638782926,66.21382024101233,-133.4974565998307,66.35755002901088
-133.645903328584,68.5938465946898,c0363089,-133.7177682225833,68.52198170069052,-133.57403843458474,68.66571148868907
-132.516811728453,68.0422771485862,200bfaf8,-132.58867662245228,67.97041225458692,-132.44494683445373,68.11414204258547
-130.891392436699,66.784636714961,e13664bf,-130.96325733069827,66.71277182096172,-130.81952754269972,66.85650160896027
-131.835289131215,69.6526865274478,1f7fa96b,-131.90715402521428,69.58082163344852,-131.76342423721573,69.72455142144707
-133.410565833972,69.2398963670558,2795e2b9,-133.48243072797126,69.16803147305653,-133.3387009399727,69.31176126105508
-135.510411162912,68.3440136331318,7bf738fd,-135.58227605691127,68.27214873913252,-135.43854626891272,68.41587852713107
-132.883119183882,67.0730532337418,c6e53285,-132.95498407788128,67.00118833974253,-132.81125428988273,67.14491812774108
-132.088346018924,65.8698965489508,ce41d57d,-132.16021091292328,65.79803165495153,-132.01648112492472,65.94176144295008
-132.887310161796,68.227003068208,3b56e3b1,-132.95917505579527,68.15513817420873,-132.81544526779672,68.29886796220728
-133.819188296209,66.7926651764451,05d7fae6,-133.89105319020828,66.72080028244582,-133.74732340220973,66.86453007044437
-133.353783964388,66.9335442343111,ce6dc527,-133.42564885838726,66.86167934031182,-133.2819190703887,67.00540912831038
