longitude,latitude
-132.69872085984719,53.887766864037694
-132.93122843647882,54.070397081646604
-131.93118030759646,53.65609514185081
-132.1585190747988,53.84026140939406
-132.38809232086783,54.02403001736549
-127.70591234715816,50.2138767528978
-128.2776912188663,50.78542357433873
-131.84633869664535,53.97494479270831
-127.97682971522264,50.90753348455587
-126.19801850189276,49.48992765255227
-126.92215278316958,50.26108999726426
-127.29457881993685,50.645399599440815
-130.32812122182358,53.49415822040072
-125.20660149202918,48.828598653013685
-125.37769331936362,49.023013298393714
-129.37228327359963,53.05690031647266
-130.44994355346222,53.999288268565266
-126.50200847479913,50.689389981861254
-126.6873023924209,50.88271270499929
-127.64105224604438,51.845843899637636
-128.235973060541,52.42067041118648
-128.4382044668026,52.611724697668436
-129.4799424682151,53.562476937542506
-129.6945907475856,53.751665653345285
-129.91140237252117,53.94051397410138
-130.13040509857993,54.12901317749524
-126.01402934752848,50.61191952279328
-127.92225717153177,52.54325514244533
-128.12357687583784,52.734984440769594
-128.32690453672808,52.92642763821881
-128.53226612742037,53.11757670447008
-128.73968797372922,53.30842350144403
-128.949196757043,53.49895978159566
-129.16081951719497,53.68917718617783
-129.59051693597718,54.06862136702561
-129.80864749065577,54.25783085377752
-130.02900381910592,54.44668688226949
-130.25161479202978,54.63518051074606
-124.14904856395867,48.965667189882076
-125.88947015345258,50.921901465368535
-128.62884946458885,53.62404954331875
-129.92584910033133,54.76451164104066
-123.68575261486693,48.877374915403784
-124.18294626198731,49.468245829328495
-124.35184181729805,49.66491035652946
-126.32109241982184,51.816435971761244
-126.89597612032414,52.39874627981135
-127.09144455578253,52.59235180746487
-128.30638353617556,53.74821481011067
-128.5161445954814,53.93982194143552
-129.59779258300003,54.89291058008295
-129.82089562165476,55.08247744060909
-126.57829021718712,52.51725472349108
-127.16763331744085,53.09927512944494
-129.26743862869944,55.0203657127514
-139.98298398851227,62.07325899933953
-140.32326379845563,62.24100348081401
-123.41071394291514,49.48755270649451
-123.57599722937631,49.6855535465773
-123.7428736168079,49.8834119730302
-123.91136391881395,50.081121748803966
-124.08148926292961,50.278676555434856
-127.24586816875191,53.60685295174382
-129.15597036979804,55.337872212755286
-130.53339017143506,56.47598808929872
-139.96259713791005,62.40014946335223
-123.60341609296475,50.1896080813793
-125.3714197202916,52.16329861100796
-125.55808138504852,52.359580989238005
-125.74663317248604,52.555637545389466
-126.12950945978059,52.94704359626668
-126.32388609456002,53.142378040014016
-127.12160919355021,53.92107813332007
-127.53298935710632,54.3087338843887
-128.8199997272959,55.46412261664412
-129.0425320608055,55.65549048696247
-129.2674431710817,55.846492253276345
-122.31926793198826,49.10177732395561
-123.12745028122583,50.09827071356404
-124.86740988546708,52.07990057280528
-125.6135941851891,52.86713811853952
-125.80493104532565,53.063375603648815
-125.99823665327366,53.259369392443126
-126.19353792560722,53.45511183639986
-126.39086218700275,53.65059518093387
-128.26253215970826,55.39695138225377
-128.48168256111117,55.58939254114581
-128.70318488936374,55.781481750516186
-131.30460323076602,57.86851078479113
-124.00942180073835,51.59754445604633
-124.3655717240581,51.9940739123921
-124.54635666224819,52.19204877896898
-124.72898116225699,52.38982108317257
-125.09984989309433,52.78472946564648
-125.288145629579,52.981851029192576
-125.47838395021715,53.17874099752219
-127.92293061741351,55.520514166639416
-121.5534121303527,49.106353572408445
-123.51559932998603,51.50770386235221
-124.22346394145873,52.30323242939418
-124.40496472528639,52.5016366280514
-124.58832950985133,52.69983564233977
-124.77358406288735,52.89782229989865
-124.96075455773656,53.09558932921998
-126.53037170178952,54.66891223919353
-130.3482477939465,57.94486254607912
-130.59588498880453,58.13399636551916
-131.61480038012172,58.88581486156948
-123.02403642635358,51.41550761018723
-123.19544928440209,51.61544066485871
-124.0790843542096,52.61247506043844
-124.26129893115375,52.81130781625338
-124.44540235944082,53.009932772869824
-124.81938175000063,53.40653024879455
-125.78928474543267,54.39386843632828
-125.98948514983216,54.5905618453279
-126.39634245343508,54.98311035690452
-126.60306063094589,55.17894892019086
-127.02323284416478,55.56971241229545
-127.23675107234011,55.76462007159395
-127.67081599860126,56.15344309136337
-129.9907543063964,58.075286511622764
-131.5131633629794,59.20768947510118
-131.77720290152504,59.394700250750276
-132.0443000824786,59.58118801237868
-132.31449874225444,59.76714083867309
-132.58784329340764,59.95254662251352
-132.8643787238331,60.13739306771753
-123.21929142371863,52.12278638026846
-123.39482265518863,52.32281755574358
-123.57216412292087,52.52266652421855
-123.7513411749522,52.72232638116418
-123.93237957022997,52.92179012642794
-124.11530548502222,53.12105066253437
-124.3001455193708,53.320100792947976
-125.64994751619625,54.70693419691223
-126.05444838635314,55.10084489605811
-126.25999052402946,55.297372047185476
-126.46776922414232,55.493602556763115
-127.98761336390217,56.858177115792586
-131.14648872725883,59.341792228627185
-131.67558338662627,59.7169111804217
-131.944782421722,59.90368280274126
-132.21714271631035,60.0899131299706
-132.4927101186245,60.27558987969869
-133.05365266035153,60.64523254163406
-122.7207291373445,52.02896693751377
